,Listing,Price,SQMUP,Room Info,Area,Location,Ads
115,Dwupokojowe mieszkanie z balkonem na Mokotowie.,800 000 ,16 989 ,2 ,47.09  ,"ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Metrohouse  Franchise S.A.Biuro nieruchomości
116,86m2 Żoliborz *Metro* - pod mieszkanie lub biuro,1 690 000 ,19 631 ,3 ,86.09  ,"ul. Adama Mickiewicza, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",Good Life EstatesBiuro nieruchomości
117,Pasaż Abrahama | nowe mieszkanie M1,886 171 ,14 527 ,3 ,61  ,"ul. gen. Romana Abrahama, Gocław, Praga-Południe, Warszawa, mazowieckie",BJM DevelopmentInwestycja deweloperska
118,* PRZESTRONNE 2-POKOJE z ogródkiem Płochocińska *,578 149 ,8836 ,2 ,65.43  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
119,** ustawne 3-POKOJE + 2 BALKONY ** Płochocińska *,571 697 ,9150 ,3 ,62.48  ,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",ATAL S.A.Inwestycja deweloperska
120,Natolin | 2pok. 53m | Ciche | 1/4p. | przy metrze,670 000 ,12 713 ,2 ,52.7  ,"ul. Małej Łąki, Natolin, Ursynów, Warszawa, mazowieckie",Nieruchomości DaszkiewiczBiuro nieruchomości
121,W sercu Warszawy-100m od metra-1km od Stareg Miast,635 000 ,21 897 ,1 ,29  ,"ul. Antonia Corazziego, Kobiałka, Białołęka, Warszawa, mazowieckie",Oferta prywatna
122,Rozkładowe 2 pokoje z widną kuchnią na Mokotowie !,499 000 ,13 307 ,2 ,37.5  ,"ul. Jana Feliksa Piwarskiego, Sielce, Mokotów, Warszawa, mazowieckie",Freedom Nieruchomości | BiuraBiuro nieruchomości
123,Mieszkanie trzypokojowe na sprzedaż - Gumińska,1 420 000 ,22 533 ,3 ,63.02  ,"ul. Gumińska, Ulrychów, Wola, Warszawa, mazowieckie",Oferta prywatna
124,Apartament w nowej kamienicy - Koszykowa 49,1 290 000 ,28 277 ,2 ,45.62  ,"ul. Koszykowa, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Biuro nieruchomości
